SENSACIONAL VILABARCA RIGS,,,,LINKS,,,RIG,,,CONCEPT,,,,MODEL SHEET,EXTRAS,,
EPS,NOME,PERSONAGEM,ID,LINK RIG,SYNC SKETCH,LINKS CONCEPT,RESPONSÁVEL,STATUS RIG,ENTREGA,RESPONSÁVEL CONCEPT,RESPONSÁVEL VETORIZAÇÃO,STATUS CONCEPT,ENTREGA,MODEL SHEET,COMENTÁRIOS,REVISÕES CONCEPT,REVISÕES RIG
105,MELI ABELHA,,SVB_RIG_MELI_ABELHA,SVB_RIG_ABELINHA.tpl.zip,,,RAFAEL,CONCLUÍDO,29/07/2025,OTONIEL,,CONCLUÍDO,25/07/2025,,meli se transforma em um enxame de abelhas,,
105,MELI DESMORTA,,SVB_RIG_MELI_DESMORTA,SVB_RIG_MELLIDESMORTA_A.zip,,,GENIS,CONCLUÍDO,,OTONIEL,,CONCLUÍDO,14/08/2025,,"um pouco do tom amarelado, os olhos
redondinhos e a mexer as asinhas lentamente.",,
105,MELI DESMORTA,,SVB_RIG_MELI_DESMORTA_B,SVB_RIG_MELLIDESMORTA_B.zip,,,GENIS,CONCLUÍDO,,OTONIEL,,CONCLUÍDO,14/08/2025,,"com cores parecendo um hematoma e com as asinhas tortas no
céu e treme com um calafrio quando cruzam os olhos.",,
105,MELI DESMORTA,,SVB_RIG_MELI_DESMORTA_C,SVB_RIG_MELLIDESMORTA_C.zip,,,GENIS,CONCLUÍDO,,OTONIEL,,CONCLUÍDO,14/08/2025,,"agora já totalmente verde, com o corpo
inclinado e as asinhas batendo tortas,",,
105,MENINA NA JANELA,,SVB_104_MENINA JANELA,,,,,NÃO INICIADO,,,,NÃO INICIADO,,,,,
105,MENINO NA JANELA,,SVB_104_MENINO_JANELA,,,,,NÃO INICIADO,,,,NÃO INICIADO,,,,,
105,PEPE PESCADOR,,SVB_RIG_PEPE_PESCADOR,,https://syncsketch.com/sketch/a3jqV1ghfpi0/ ,https://drive.google.com/file/d/1jRh9S_xbXn7rH0qfg4ekmSDAy7Rp64dX/view,GENIS,EM PRODUÇÃO,,BRUNO,,CONCLUÍDO,12/06/2025,,"senhor pescador com caniço de pesca, 
 chapéu e mastigando tabaco.",,
105,RAI,,SVB_RIG_RAI,,,https://drive.google.com/file/d/17l1HG0H9uz7eDvwtJO5Xbb5546_tRsNj/view?usp=drive_link,TONTON,EM PRODUÇÃO,,BRUNO,,CONCLUÍDO,20/03/2025,,,,
105,SEU TONHO,,SVB_RIG_SEUTONHO,SVB_RIG_SEUTONHO.tpl.zip,,https://drive.google.com/file/d/13KsaQeILuPUodEEqat_LJ8b5MymCeKRj/view?usp=drive_link,JACKSON,CONCLUÍDO,16/04/2025,BRUNO,,CONCLUÍDO,10/03/2025,,,,
105,TAVIO,,SVB_RIG_TAVIO,https://drive.google.com/file/d/1PeFWerCmsG-cSRyVCiyOjHffWvQuyY0a/view?usp=drive_link,,https://drive.google.com/file/d/14Fz00hYIxEz8JiH1J1l3a3FHWtcVwhSl/view?usp=drive_link,JACKSON,CONCLUÍDO,02/04/2025,BRUNO,,CONCLUÍDO,07/02/2025,,,,
105,TIA REBIMBOCA,,SVB_RIG_TIA_REBIMBOCA,https://drive.google.com/file/d/1zrMnDFX8MSJxFAvHf3kJIJgDzMi7-epP/view?usp=drive_link,,SVB_PER_REBIMBOCA_TURN-3.jpg,GENIS,CONCLUÍDO,,OTONIEL,,CONCLUÍDO,,,,,
105,TIA REBIMBOCA DE MOCHILA,,SVB_104_REBI_MOCHILA,,,,,NÃO INICIADO,,,,NÃO INICIADO,,,,,
105,XICO RIO,,SVB_RIG_XICO_RIO,https://drive.google.com/file/d/1zpQx2PqmTvVNGnmTnOp37HRy72k94Tj1/view?usp=drive_link,https://syncsketch.com/sketch/ZDBiZGJlNjMy/#/34675922/36116820,https://drive.google.com/file/d/1IouXkJnJiaHRct4dqOQzsIO3U3PtuumG/view?usp=drive_link,GENIS,CONCLUÍDO,,OTONIEL,,CONCLUÍDO,,,,,20/05/2025
